"first_name","last_name","hire_date"
"Eran","Cusworth","1986-11-14 00:00:00"
"Bojan","Zallocco","1986-10-14 00:00:00"
"Nevio","Demizu","1986-05-18 00:00:00"
"Ziva","Vecchi","1986-07-03 00:00:00"
"Mohit","Speek","1986-01-14 00:00:00"
"Qunsheng","Speer","1986-02-13 00:00:00"
"Dines","Encarnacion","1986-08-02 00:00:00"
"Harngdar","Swick","1986-05-28 00:00:00"
"Freyja","Uhrig","1986-12-20 00:00:00"
"Zhenhua","Milicic","1986-08-04 00:00:00"
"Bowen","Schmezko","1986-05-30 00:00:00"
"Reuven","Munke","1986-04-13 00:00:00"
"Stabislas","Domenig","1986-08-04 00:00:00"
"Juichirou","Jumpertz","1986-09-18 00:00:00"
"Juichirou","Ghelli","1986-12-13 00:00:00"
"Shmuel","Georg","1986-11-30 00:00:00"
"Xiadong","Bach","1986-04-29 00:00:00"
"Guangming","Butterworth","1986-10-01 00:00:00"
"Irene","Setia","1986-08-10 00:00:00"
"Shuichi","Swiler","1986-06-08 00:00:00"
"Terresa","Perez","1986-09-12 00:00:00"
"Lidong","Borovoy","1986-05-30 00:00:00"
"Teiji","Eickenmeyer","1986-09-03 00:00:00"
"Baocai","Kroha","1986-10-27 00:00:00"
"Morrie","Sridhar","1986-03-04 00:00:00"
"Taegyun","Speckmann","1986-12-28 00:00:00"
"Stabislas","McFarlin","1986-07-19 00:00:00"
"Apostol","Ghelli","1986-04-07 00:00:00"
"Khun","Kuszyk","1986-06-30 00:00:00"
"Conor","Flanders","1986-02-21 00:00:00"
"Radhakrishnan","Albarhamtoshy","1986-05-07 00:00:00"
"Shigeu","Denna","1986-04-10 00:00:00"
"Uta","Frolund","1986-01-22 00:00:00"
"Zhiwei","Kaminger","1986-07-04 00:00:00"
"Sven","Krider","1986-09-25 00:00:00"
"Yannik","Vakili","1986-11-09 00:00:00"
"Khatoun","Zeilberger","1986-01-31 00:00:00"
"Fox","Erva","1986-05-06 00:00:00"
"Huai","Birrer","1986-03-28 00:00:00"
"Kristine","Litzler","1986-01-09 00:00:00"
"Eirik","Farrel","1986-09-19 00:00:00"
"Wayne","Levergood","1986-05-05 00:00:00"
"Chrisa","Cullers","1986-01-28 00:00:00"
"Manton","Perko","1986-06-18 00:00:00"
"Etsuo","Ratzlaff","1986-01-15 00:00:00"
"Odysseas","Erie","1986-02-06 00:00:00"
"Ingmar","Lambe","1986-10-21 00:00:00"
"Marin","Ashish","1986-07-11 00:00:00"
"JiYoung","Delaune","1986-09-04 00:00:00"
"Sandeepan","Sidou","1986-01-19 00:00:00"
"Neven","Leivant","1986-09-02 00:00:00"
"Sarita","Hofting","1986-07-03 00:00:00"
"Kolar","Karunanithi","1986-12-06 00:00:00"
"Shmuel","Impagliazzo","1986-02-19 00:00:00"
